Marketing_Budget,Platform,Predicted_Impressions,Predicted_Clicks,Predicted_CTR_Percentage,Predicted_Conversions
1000,Google Ads,32476,984,3.03,46
1000,TikTok Ads,54098,2461,4.55,105
1000,Meta Ads,52977,854,1.61,35
2000,Google Ads,36673,1148,3.13,54
2000,TikTok Ads,70922,3843,5.42,195
2000,Meta Ads,97078,2015,2.08,88
3000,Google Ads,71674,2412,3.37,110
3000,TikTok Ads,81905,3985,4.87,185
3000,Meta Ads,118579,2845,2.4,140
4000,Google Ads,82272,2674,3.25,125
4000,TikTok Ads,102985,4645,4.51,277
4000,Meta Ads,134719,3512,2.61,152
5000,Google Ads,95024,3152,3.32,157
5000,TikTok Ads,115929,6265,5.4,306
5000,Meta Ads,141394,3792,2.68,164
6000,Google Ads,105216,3404,3.24,166
6000,TikTok Ads,116267,5737,4.93,288
6000,Meta Ads,152087,4264,2.8,156
7000,Google Ads,106885,3583,3.35,173
7000,TikTok Ads,139416,7751,5.56,291
7000,Meta Ads,144882,4070,2.81,162
8000,Google Ads,117479,4371,3.72,199
8000,TikTok Ads,131613,6843,5.2,301
8000,Meta Ads,156730,4642,2.96,222
9000,Google Ads,120893,4892,4.05,198
9000,TikTok Ads,133200,7707,5.79,315
9000,Meta Ads,164059,4667,2.84,243
10000,Google Ads,130891,4975,3.8,229
10000,TikTok Ads,128074,8548,6.67,383
10000,Meta Ads,171586,5438,3.17,235
11000,Google Ads,130527,5157,3.95,216
11000,TikTok Ads,159621,10018,6.28,367
11000,Meta Ads,174696,5646,3.23,121
12000,Google Ads,121002,4768,3.94,205
12000,TikTok Ads,166132,10626,6.4,565
12000,Meta Ads,152814,5934,3.88,315
13000,Google Ads,133868,5326,3.98,222
13000,TikTok Ads,146065,9686,6.63,404
13000,Meta Ads,158513,6226,3.93,258
14000,Google Ads,109900,4933,4.49,251
14000,TikTok Ads,151761,9668,6.37,279
14000,Meta Ads,163726,6533,3.99,272
15000,Google Ads,135192,5834,4.32,233
15000,TikTok Ads,163533,9321,5.7,418
15000,Meta Ads,162055,6533,4.03,272
16000,Google Ads,129978,6294,4.84,236
16000,TikTok Ads,190840,12146,6.36,612
16000,Meta Ads,162055,6533,4.03,272
17000,Google Ads,130495,6529,5.0,230
17000,TikTok Ads,176369,12013,6.81,691
17000,Meta Ads,162055,6533,4.03,272
18000,Google Ads,136919,6630,4.84,316
18000,TikTok Ads,180892,10261,5.67,517
18000,Meta Ads,162055,6533,4.03,272
19000,Google Ads,162552,7296,4.49,307
19000,TikTok Ads,187014,10550,5.64,515
19000,Meta Ads,162055,6533,4.03,272
20000,Google Ads,159461,7717,4.84,303
20000,TikTok Ads,186858,10793,5.78,501
20000,Meta Ads,162055,6533,4.03,272
